epoch 0001 | train 311.459117 | val 37.271190 | lr 5.00e-04
epoch 0002 | train 146.924542 | val 6.477306 | lr 5.00e-04
epoch 0003 | train 162.722145 | val 51.280947 | lr 5.00e-04
epoch 0004 | train 130.476800 | val 36.169309 | lr 5.00e-04
epoch 0005 | train 122.897783 | val 23.864760 | lr 5.00e-04
epoch 0006 | train 84.844298 | val 11.502488 | lr 5.00e-04
epoch 0007 | train 82.159481 | val 17.117659 | lr 5.00e-04
epoch 0008 | train 92.274671 | val 23.387962 | lr 5.00e-04
epoch 0009 | train 76.348285 | val 15.935451 | lr 5.00e-04
epoch 0010 | train 71.321011 | val 14.642626 | lr 5.00e-04
epoch 0011 | train 48.719621 | val 116.110874 | lr 5.00e-04
epoch 0012 | train 60.191468 | val 39.970043 | lr 5.00e-04
epoch 0013 | train 42.993061 | val 15.063358 | lr 5.00e-04
epoch 0014 | train 49.061342 | val 13.931335 | lr 5.00e-04
epoch 0015 | train 64.664261 | val 14.971029 | lr 5.00e-04
epoch 0016 | train 35.667113 | val 15.361360 | lr 5.00e-04
epoch 0017 | train 64.732703 | val 34.111850 | lr 5.00e-04
epoch 0018 | train 44.639811 | val 13.309213 | lr 5.00e-04
epoch 0019 | train 35.504657 | val 16.539084 | lr 5.00e-04
epoch 0020 | train 45.212910 | val 9.772449 | lr 5.00e-04
epoch 0021 | train 34.411037 | val 10.857482 | lr 5.00e-04
epoch 0022 | train 34.894774 | val 10.064081 | lr 5.00e-04
epoch 0023 | train 35.307670 | val 14.520772 | lr 5.00e-04
epoch 0024 | train 32.538853 | val 25.131506 | lr 5.00e-04
epoch 0025 | train 38.140111 | val 9.562064 | lr 5.00e-04
epoch 0026 | train 25.909198 | val 22.405847 | lr 5.00e-04
epoch 0027 | train 28.440181 | val 12.102935 | lr 5.00e-04
epoch 0028 | train 22.554736 | val 9.129057 | lr 5.00e-04
epoch 0029 | train 26.108780 | val 8.379018 | lr 5.00e-04
epoch 0030 | train 23.794901 | val 8.329664 | lr 5.00e-04
epoch 0031 | train 23.747442 | val 8.342484 | lr 5.00e-04
epoch 0032 | train 21.081471 | val 8.232579 | lr 5.00e-04
epoch 0033 | train 18.881221 | val 8.687265 | lr 5.00e-04
epoch 0034 | train 22.508156 | val 17.456699 | lr 5.00e-04
epoch 0035 | train 21.212765 | val 9.309954 | lr 5.00e-04
epoch 0036 | train 16.984617 | val 14.338093 | lr 5.00e-04
epoch 0037 | train 20.776293 | val 9.793848 | lr 5.00e-04
epoch 0038 | train 20.324300 | val 6.691044 | lr 5.00e-04
epoch 0039 | train 19.205092 | val 7.559100 | lr 5.00e-04
epoch 0040 | train 17.087281 | val 7.744640 | lr 5.00e-04
epoch 0041 | train 22.972271 | val 6.698392 | lr 5.00e-04
epoch 0042 | train 18.860389 | val 6.165723 | lr 5.00e-04
epoch 0043 | train 16.371012 | val 6.161175 | lr 5.00e-04
epoch 0044 | train 20.588696 | val 5.975733 | lr 5.00e-04
epoch 0045 | train 16.388381 | val 8.325806 | lr 5.00e-04
epoch 0046 | train 14.563934 | val 5.891311 | lr 5.00e-04
epoch 0047 | train 15.755896 | val 9.809875 | lr 5.00e-04
epoch 0048 | train 16.654282 | val 5.919179 | lr 5.00e-04
epoch 0049 | train 17.548647 | val 6.840936 | lr 5.00e-04
epoch 0050 | train 16.348463 | val 7.130048 | lr 5.00e-04
saved checkpoints\ckpt_epoch0050.pt
epoch 0051 | train 13.369419 | val 5.483331 | lr 5.00e-04
epoch 0052 | train 13.572389 | val 5.558412 | lr 5.00e-04
epoch 0053 | train 14.136139 | val 5.695373 | lr 5.00e-04
epoch 0054 | train 12.793102 | val 6.025241 | lr 5.00e-04
epoch 0055 | train 11.710434 | val 5.189972 | lr 5.00e-04
epoch 0056 | train 16.332133 | val 5.911511 | lr 5.00e-04
epoch 0057 | train 13.324760 | val 6.394336 | lr 5.00e-04
epoch 0058 | train 13.774911 | val 6.930576 | lr 5.00e-04
epoch 0059 | train 16.425189 | val 16.731371 | lr 5.00e-04
epoch 0060 | train 10.874773 | val 5.093882 | lr 5.00e-04
epoch 0061 | train 10.421062 | val 5.556754 | lr 5.00e-04
epoch 0062 | train 14.103434 | val 9.363006 | lr 5.00e-04
epoch 0063 | train 12.726229 | val 5.139212 | lr 5.00e-04
epoch 0064 | train 11.568190 | val 4.801419 | lr 5.00e-04
epoch 0065 | train 14.387315 | val 5.457677 | lr 5.00e-04
epoch 0066 | train 9.886005 | val 5.372154 | lr 5.00e-04
epoch 0067 | train 14.418534 | val 8.321609 | lr 5.00e-04
epoch 0068 | train 13.387726 | val 5.251333 | lr 5.00e-04
epoch 0069 | train 10.192030 | val 5.955239 | lr 5.00e-04
epoch 0070 | train 10.482633 | val 6.024110 | lr 5.00e-04
epoch 0071 | train 12.915873 | val 5.864629 | lr 5.00e-04
epoch 0072 | train 8.405249 | val 4.739502 | lr 5.00e-04
epoch 0073 | train 8.929280 | val 4.698196 | lr 5.00e-04
epoch 0074 | train 12.258358 | val 4.976981 | lr 5.00e-04
epoch 0075 | train 9.844630 | val 7.697724 | lr 5.00e-04
epoch 0076 | train 8.573696 | val 4.738023 | lr 5.00e-04
epoch 0077 | train 10.880325 | val 4.888572 | lr 5.00e-04
epoch 0078 | train 9.010815 | val 9.407344 | lr 5.00e-04
epoch 0079 | train 24.239839 | val 5.456454 | lr 5.00e-04
epoch 0080 | train 17.283223 | val 5.312362 | lr 5.00e-04
epoch 0081 | train 12.294737 | val 6.639990 | lr 5.00e-04
epoch 0082 | train 15.537430 | val 8.068407 | lr 5.00e-04
epoch 0083 | train 18.606789 | val 5.641375 | lr 5.00e-04
epoch 0084 | train 10.890385 | val 5.572200 | lr 5.00e-04
epoch 0085 | train 8.579880 | val 4.819128 | lr 5.00e-04
epoch 0086 | train 18.729482 | val 3.623853 | lr 5.00e-04
epoch 0087 | train 9.525863 | val 4.914294 | lr 5.00e-04
epoch 0088 | train 7.148942 | val 2.483669 | lr 5.00e-04
epoch 0089 | train 6.774321 | val 3.441354 | lr 5.00e-04
epoch 0090 | train 6.447731 | val 2.556148 | lr 2.50e-05
epoch 0091 | train 6.007561 | val 2.334306 | lr 2.50e-05
epoch 0092 | train 4.637021 | val 2.383122 | lr 2.50e-05
epoch 0093 | train 4.390438 | val 2.252810 | lr 2.50e-05
epoch 0094 | train 4.171696 | val 2.266823 | lr 2.50e-05
epoch 0095 | train 4.660656 | val 2.272655 | lr 2.50e-05
epoch 0096 | train 4.738427 | val 2.274699 | lr 2.50e-05
epoch 0097 | train 4.676613 | val 2.285466 | lr 2.50e-05
epoch 0098 | train 4.609781 | val 2.230634 | lr 2.50e-05
epoch 0099 | train 4.289004 | val 2.211346 | lr 2.50e-05
epoch 0100 | train 4.232444 | val 2.215872 | lr 2.50e-05
saved checkpoints\ckpt_epoch0100.pt
epoch 0101 | train 4.536868 | val 2.635095 | lr 2.50e-05
epoch 0102 | train 4.698393 | val 2.289212 | lr 2.50e-05
epoch 0103 | train 4.451703 | val 2.203814 | lr 2.50e-05
epoch 0104 | train 4.669067 | val 2.228322 | lr 2.50e-05
epoch 0105 | train 4.390420 | val 2.165104 | lr 2.50e-05
epoch 0106 | train 4.469673 | val 2.227782 | lr 2.50e-05
epoch 0107 | train 4.462368 | val 2.140807 | lr 2.50e-05
epoch 0108 | train 4.267635 | val 2.178260 | lr 2.50e-05
epoch 0109 | train 4.390334 | val 2.182828 | lr 2.50e-05
epoch 0110 | train 4.178351 | val 2.145440 | lr 2.50e-05
epoch 0111 | train 4.388515 | val 2.180767 | lr 2.50e-05
epoch 0112 | train 4.282884 | val 2.137000 | lr 2.50e-05
epoch 0113 | train 3.902532 | val 2.063271 | lr 2.50e-05
epoch 0114 | train 4.236645 | val 2.277574 | lr 2.50e-05
epoch 0115 | train 4.296615 | val 2.176879 | lr 2.50e-05
epoch 0116 | train 4.068544 | val 2.121889 | lr 2.50e-05
epoch 0117 | train 4.340525 | val 2.226309 | lr 2.50e-05
epoch 0118 | train 3.855770 | val 2.137700 | lr 2.50e-05
epoch 0119 | train 4.176595 | val 2.188534 | lr 2.50e-05
epoch 0120 | train 4.514550 | val 2.082387 | lr 2.50e-05
epoch 0121 | train 4.525971 | val 2.112789 | lr 2.50e-05
epoch 0122 | train 3.669137 | val 2.100151 | lr 2.50e-05
epoch 0123 | train 3.988690 | val 2.232982 | lr 2.50e-05
epoch 0124 | train 4.285132 | val 2.122155 | lr 2.50e-05
epoch 0125 | train 4.040047 | val 2.047632 | lr 2.50e-05
epoch 0126 | train 4.255079 | val 2.144173 | lr 2.50e-05
epoch 0127 | train 4.482799 | val 2.112952 | lr 2.50e-05
epoch 0128 | train 4.053485 | val 2.118378 | lr 2.50e-05
epoch 0129 | train 3.842156 | val 2.128534 | lr 2.50e-05
epoch 0130 | train 3.824505 | val 2.073568 | lr 2.50e-05
epoch 0131 | train 3.960500 | val 2.080390 | lr 2.50e-05
epoch 0132 | train 4.015630 | val 2.061677 | lr 2.50e-05
epoch 0133 | train 3.870160 | val 2.070395 | lr 2.50e-05
epoch 0134 | train 3.697814 | val 2.093405 | lr 2.50e-05
epoch 0135 | train 3.921240 | val 2.064924 | lr 2.50e-05
epoch 0136 | train 3.980130 | val 2.061376 | lr 2.50e-05
epoch 0137 | train 4.269030 | val 2.036663 | lr 2.50e-05
epoch 0138 | train 4.197742 | val 2.027271 | lr 2.50e-05
epoch 0139 | train 4.033381 | val 2.049716 | lr 2.50e-05
epoch 0140 | train 3.911875 | val 2.046182 | lr 2.50e-05
epoch 0141 | train 4.365045 | val 2.084428 | lr 2.50e-05
epoch 0142 | train 3.969077 | val 2.049803 | lr 2.50e-05
epoch 0143 | train 3.876377 | val 2.064612 | lr 2.50e-05
epoch 0144 | train 3.853114 | val 2.176859 | lr 2.50e-05
epoch 0145 | train 4.082678 | val 2.111816 | lr 2.50e-05
epoch 0146 | train 4.397750 | val 1.988152 | lr 2.50e-05
epoch 0147 | train 3.951550 | val 2.074272 | lr 2.50e-05
epoch 0148 | train 3.399271 | val 2.063128 | lr 2.50e-05
epoch 0149 | train 4.119949 | val 1.993686 | lr 2.50e-05
epoch 0150 | train 4.274950 | val 2.069670 | lr 2.50e-05
saved checkpoints\ckpt_epoch0150.pt
epoch 0151 | train 3.909512 | val 2.033525 | lr 2.50e-05
epoch 0152 | train 3.877046 | val 2.041156 | lr 2.50e-05
epoch 0153 | train 3.681655 | val 2.028829 | lr 2.50e-05
epoch 0154 | train 3.391253 | val 2.022478 | lr 2.50e-05
epoch 0155 | train 3.887556 | val 2.032031 | lr 2.50e-05
epoch 0156 | train 3.896477 | val 1.999957 | lr 2.50e-05
epoch 0157 | train 3.869700 | val 1.960285 | lr 2.50e-05
epoch 0158 | train 3.640646 | val 1.981983 | lr 2.50e-05
epoch 0159 | train 3.866613 | val 2.009345 | lr 2.50e-05
epoch 0160 | train 3.790000 | val 1.981012 | lr 2.50e-05
epoch 0161 | train 4.304841 | val 2.021822 | lr 2.50e-05
epoch 0162 | train 3.301156 | val 1.955689 | lr 2.50e-05
epoch 0163 | train 3.675264 | val 2.070361 | lr 2.50e-05
epoch 0164 | train 3.530816 | val 1.971991 | lr 2.50e-05
epoch 0165 | train 4.014864 | val 2.005764 | lr 2.50e-05
epoch 0166 | train 3.599072 | val 2.003818 | lr 2.50e-05
epoch 0167 | train 3.234910 | val 1.969628 | lr 2.50e-05
epoch 0168 | train 4.089573 | val 1.960742 | lr 2.50e-05
epoch 0169 | train 3.686901 | val 2.006082 | lr 2.50e-05
epoch 0170 | train 3.339359 | val 1.982544 | lr 2.50e-05
epoch 0171 | train 3.353843 | val 2.107269 | lr 2.50e-05
epoch 0172 | train 4.615088 | val 1.922621 | lr 2.50e-05
epoch 0173 | train 3.593839 | val 1.971428 | lr 2.50e-05
epoch 0174 | train 4.130552 | val 2.009329 | lr 2.50e-05
epoch 0175 | train 3.881470 | val 1.937181 | lr 2.50e-05
epoch 0176 | train 4.121612 | val 1.926554 | lr 2.50e-05
epoch 0177 | train 5.291408 | val 2.012204 | lr 2.50e-05
epoch 0178 | train 3.668489 | val 1.992905 | lr 2.50e-05
epoch 0179 | train 3.639096 | val 1.971929 | lr 2.50e-05
epoch 0180 | train 3.797616 | val 1.939849 | lr 1.25e-06
epoch 0181 | train 4.146744 | val 1.976372 | lr 1.25e-06
epoch 0182 | train 4.012391 | val 1.992188 | lr 1.25e-06
epoch 0183 | train 3.517532 | val 1.972411 | lr 1.25e-06
epoch 0184 | train 3.276117 | val 1.958822 | lr 1.25e-06
epoch 0185 | train 3.637243 | val 1.946735 | lr 1.25e-06
epoch 0186 | train 3.932380 | val 1.996911 | lr 1.25e-06
epoch 0187 | train 3.505088 | val 1.982391 | lr 1.25e-06
epoch 0188 | train 3.552137 | val 1.971667 | lr 1.25e-06
epoch 0189 | train 3.387450 | val 1.966107 | lr 1.25e-06
epoch 0190 | train 3.626469 | val 1.959793 | lr 1.25e-06
epoch 0191 | train 3.295031 | val 1.919901 | lr 1.25e-06
epoch 0192 | train 3.930960 | val 1.945441 | lr 1.25e-06
epoch 0193 | train 3.806546 | val 1.972408 | lr 1.25e-06
epoch 0194 | train 3.847768 | val 1.936515 | lr 1.25e-06
epoch 0195 | train 3.598984 | val 1.931005 | lr 1.25e-06
epoch 0196 | train 3.554478 | val 1.975129 | lr 1.25e-06
epoch 0197 | train 3.411932 | val 1.957505 | lr 1.25e-06
epoch 0198 | train 3.462025 | val 1.944438 | lr 1.25e-06
epoch 0199 | train 3.618355 | val 1.920992 | lr 1.25e-06
epoch 0200 | train 3.224865 | val 1.954533 | lr 1.25e-06
saved checkpoints\ckpt_epoch0200.pt
epoch 0201 | train 3.757478 | val 1.941550 | lr 1.25e-06
epoch 0202 | train 3.262171 | val 1.928594 | lr 1.25e-06
epoch 0203 | train 3.687153 | val 1.981484 | lr 1.25e-06
epoch 0204 | train 3.597243 | val 1.933165 | lr 1.25e-06
epoch 0205 | train 3.558491 | val 1.965694 | lr 1.25e-06
epoch 0206 | train 3.272531 | val 1.916964 | lr 1.25e-06
epoch 0207 | train 3.192076 | val 1.923661 | lr 1.25e-06
epoch 0208 | train 3.751301 | val 1.937173 | lr 1.25e-06
epoch 0209 | train 3.385377 | val 1.958458 | lr 1.25e-06
epoch 0210 | train 3.398782 | val 1.942874 | lr 1.25e-06
epoch 0211 | train 3.390652 | val 1.954823 | lr 1.25e-06
epoch 0212 | train 3.671811 | val 1.961083 | lr 1.25e-06
epoch 0213 | train 3.929050 | val 1.919277 | lr 1.25e-06
epoch 0214 | train 3.666661 | val 1.974848 | lr 1.25e-06
epoch 0215 | train 3.637372 | val 1.995403 | lr 1.25e-06
epoch 0216 | train 3.247948 | val 1.959677 | lr 1.25e-06
epoch 0217 | train 3.394485 | val 1.929521 | lr 1.25e-06
epoch 0218 | train 3.213737 | val 1.982467 | lr 1.25e-06
epoch 0219 | train 3.834223 | val 1.946583 | lr 1.25e-06
epoch 0220 | train 3.617901 | val 1.965832 | lr 1.25e-06
epoch 0221 | train 3.223304 | val 1.960068 | lr 1.25e-06
epoch 0222 | train 3.336599 | val 1.984091 | lr 1.25e-06
epoch 0223 | train 3.252264 | val 1.967612 | lr 1.25e-06
epoch 0224 | train 3.468749 | val 1.957060 | lr 1.25e-06
epoch 0225 | train 3.078829 | val 1.916527 | lr 1.25e-06
epoch 0226 | train 3.414208 | val 1.937709 | lr 1.25e-06
epoch 0227 | train 3.843607 | val 1.964785 | lr 1.25e-06
epoch 0228 | train 3.807884 | val 1.937987 | lr 1.25e-06
epoch 0229 | train 3.592770 | val 1.953889 | lr 1.25e-06
epoch 0230 | train 3.347149 | val 1.973011 | lr 1.25e-06
epoch 0231 | train 3.597256 | val 1.931313 | lr 1.25e-06
epoch 0232 | train 3.436307 | val 1.945708 | lr 1.25e-06
epoch 0233 | train 3.263761 | val 1.972878 | lr 1.25e-06
epoch 0234 | train 3.454944 | val 1.992985 | lr 1.25e-06
epoch 0235 | train 3.185821 | val 1.934389 | lr 1.25e-06
epoch 0236 | train 3.196091 | val 1.945796 | lr 1.25e-06
epoch 0237 | train 3.349689 | val 1.943584 | lr 1.25e-06
epoch 0238 | train 3.526060 | val 1.944553 | lr 1.25e-06
epoch 0239 | train 3.464560 | val 1.946831 | lr 1.25e-06
epoch 0240 | train 3.579031 | val 1.991043 | lr 1.25e-06
epoch 0241 | train 3.410208 | val 1.925340 | lr 1.25e-06
epoch 0242 | train 3.868828 | val 1.953706 | lr 1.25e-06
epoch 0243 | train 3.606120 | val 1.954801 | lr 1.25e-06
epoch 0244 | train 4.093346 | val 1.969425 | lr 1.25e-06
epoch 0245 | train 3.603845 | val 1.939541 | lr 1.25e-06
epoch 0246 | train 3.273900 | val 1.938258 | lr 1.25e-06
epoch 0247 | train 3.414419 | val 1.957153 | lr 1.25e-06
epoch 0248 | train 3.344989 | val 1.934800 | lr 1.25e-06
epoch 0249 | train 3.862346 | val 1.978516 | lr 1.25e-06
epoch 0250 | train 3.533281 | val 1.945149 | lr 1.25e-06
saved checkpoints\ckpt_epoch0250.pt
epoch 0251 | train 3.156701 | val 1.965502 | lr 1.25e-06
epoch 0252 | train 3.299974 | val 1.936781 | lr 1.25e-06
epoch 0253 | train 4.599109 | val 1.944237 | lr 1.25e-06
epoch 0254 | train 3.462930 | val 1.955215 | lr 1.25e-06
epoch 0255 | train 3.549546 | val 1.981047 | lr 1.25e-06
epoch 0256 | train 3.388575 | val 1.920635 | lr 1.25e-06
epoch 0257 | train 3.525158 | val 1.937410 | lr 1.25e-06
epoch 0258 | train 3.114019 | val 1.934712 | lr 1.25e-06
epoch 0259 | train 3.137193 | val 1.985080 | lr 1.25e-06
epoch 0260 | train 3.556370 | val 1.958525 | lr 1.25e-06
epoch 0261 | train 3.387078 | val 1.948997 | lr 1.25e-06
epoch 0262 | train 3.715772 | val 1.990139 | lr 1.25e-06
epoch 0263 | train 3.731097 | val 1.942838 | lr 1.25e-06
epoch 0264 | train 3.441850 | val 1.941136 | lr 1.25e-06
epoch 0265 | train 3.888471 | val 1.913264 | lr 1.25e-06
epoch 0266 | train 3.660203 | val 1.962690 | lr 1.25e-06
epoch 0267 | train 3.524401 | val 1.994139 | lr 1.25e-06
epoch 0268 | train 3.364740 | val 1.942582 | lr 1.25e-06
epoch 0269 | train 3.406089 | val 1.922831 | lr 1.25e-06
epoch 0270 | train 3.238135 | val 1.985908 | lr 6.25e-08
epoch 0271 | train 3.755676 | val 1.899476 | lr 6.25e-08
epoch 0272 | train 3.184631 | val 1.908688 | lr 6.25e-08
epoch 0273 | train 3.520866 | val 1.919922 | lr 6.25e-08
epoch 0274 | train 3.290827 | val 1.924020 | lr 6.25e-08
epoch 0275 | train 3.603524 | val 1.984009 | lr 6.25e-08
epoch 0276 | train 4.327428 | val 1.938650 | lr 6.25e-08
epoch 0277 | train 3.177218 | val 1.932359 | lr 6.25e-08
epoch 0278 | train 3.700108 | val 1.914874 | lr 6.25e-08
epoch 0279 | train 3.804914 | val 1.946732 | lr 6.25e-08
epoch 0280 | train 3.221995 | val 1.954878 | lr 6.25e-08
epoch 0281 | train 3.248749 | val 1.959610 | lr 6.25e-08
epoch 0282 | train 3.263641 | val 1.945435 | lr 6.25e-08
epoch 0283 | train 3.612453 | val 1.957218 | lr 6.25e-08
epoch 0284 | train 3.864029 | val 1.918013 | lr 6.25e-08
epoch 0285 | train 3.965966 | val 1.954595 | lr 6.25e-08
epoch 0286 | train 3.283192 | val 1.941107 | lr 6.25e-08
