epoch 0001 | train 277.806131 | val 46.369240 | lr 1.00e-03
epoch 0002 | train 138.484157 | val 27.755591 | lr 1.00e-03
epoch 0003 | train 101.630107 | val 29.331768 | lr 1.00e-03
epoch 0004 | train 89.176896 | val 83.507134 | lr 1.00e-03
epoch 0005 | train 81.527549 | val 20.263518 | lr 1.00e-03
epoch 0006 | train 86.714910 | val 18.353444 | lr 1.00e-03
epoch 0007 | train 70.066809 | val 17.637094 | lr 1.00e-03
epoch 0008 | train 58.001962 | val 11.875166 | lr 1.00e-03
epoch 0009 | train 62.498072 | val 11.490857 | lr 1.00e-03
epoch 0010 | train 56.532709 | val 30.624579 | lr 1.00e-03
epoch 0011 | train 45.518794 | val 15.739908 | lr 1.00e-03
epoch 0012 | train 43.421393 | val 24.432510 | lr 1.00e-03
epoch 0013 | train 50.597454 | val 11.732962 | lr 1.00e-03
epoch 0014 | train 51.559216 | val 25.745685 | lr 1.00e-03
epoch 0015 | train 42.251542 | val 11.671920 | lr 1.00e-03
epoch 0016 | train 39.886882 | val 12.123095 | lr 1.00e-03
epoch 0017 | train 31.605567 | val 15.150457 | lr 1.00e-03
epoch 0018 | train 36.183109 | val 13.582952 | lr 1.00e-03
epoch 0019 | train 28.914755 | val 10.073673 | lr 1.00e-03
epoch 0020 | train 22.792170 | val 12.150202 | lr 1.00e-03
epoch 0021 | train 42.701436 | val 32.944678 | lr 1.00e-03
epoch 0022 | train 39.119972 | val 13.095256 | lr 1.00e-03
epoch 0023 | train 24.768471 | val 12.206045 | lr 1.00e-03
epoch 0024 | train 19.515579 | val 11.533402 | lr 1.00e-03
epoch 0025 | train 18.892273 | val 17.603017 | lr 1.00e-03
epoch 0026 | train 27.417912 | val 8.617544 | lr 1.00e-03
epoch 0027 | train 17.274389 | val 6.243312 | lr 1.00e-03
epoch 0028 | train 15.866835 | val 6.432934 | lr 1.00e-03
epoch 0029 | train 27.180916 | val 14.117785 | lr 1.00e-03
epoch 0030 | train 32.302820 | val 9.944012 | lr 1.00e-03
epoch 0031 | train 21.247323 | val 8.476966 | lr 1.00e-03
epoch 0032 | train 20.226731 | val 12.225439 | lr 1.00e-03
epoch 0033 | train 17.490435 | val 7.412793 | lr 1.00e-03
epoch 0034 | train 15.363043 | val 6.440588 | lr 1.00e-03
epoch 0035 | train 20.210786 | val 9.097192 | lr 1.00e-03
