sel100: ['MLII', 'V5']
sel102: ['V5', 'V2']
sel103: ['MLII', 'V2']
sel104: ['V5', 'V2']
sel114: ['V5', 'MLII']
sel116: ['MLII', 'V1']
sel117: ['MLII', 'V2']
sel123: ['MLII', 'V5']
sel14046: ['ECG1', 'ECG2']
sel14157: ['ECG1', 'ECG2']
sel14172: ['ECG1', 'ECG2']
sel15814: ['ECG1', 'ECG2']
sel16265: ['ECG1', 'ECG2']
sel16272: ['ECG1', 'ECG2']
sel16273: ['ECG1', 'ECG2']
sel16420: ['ECG1', 'ECG2']
sel16483: ['ECG1', 'ECG2']
sel16539: ['ECG1', 'ECG2']
sel16773: ['ECG1', 'ECG2']
sel16786: ['ECG1', 'ECG2']
sel16795: ['ECG1', 'ECG2']
sel17152: ['ECG1', 'ECG2']
sel17453: ['ECG1', 'ECG2']
sel213: ['MLII', 'V1']
sel221: ['MLII', 'V1']
sel223: ['MLII', 'V1']
sel230: ['MLII', 'V1']
sel231: ['MLII', 'V1']
sel232: ['MLII', 'V1']
sel233: ['MLII', 'V1']
sel30: ['ECG1', 'ECG2']
sel301: ['ECG1', 'ECG2']
sel302: ['ECG1', 'ECG2']
sel306: ['ECG1', 'ECG2']
sel307: ['ECG1', 'ECG2']
sel308: ['ECG1', 'ECG2']
sel31: ['ECG1', 'ECG2']
sel310: ['ECG1', 'ECG2']
sel32: ['ECG1', 'ECG2']
sel33: ['ECG1', 'ECG2']
sel34: ['ECG1', 'ECG2']
sel35: ['ECG1', 'ECG2']
sel36: ['ECG1', 'ECG2']
sel37: ['ECG1', 'ECG2']
sel38: ['ECG1', 'ECG2']
sel39: ['ECG1', 'ECG2']
sel40: ['ECG1', 'ECG2']
sel41: ['ECG1', 'ECG2']
sel42: ['ECG1', 'ECG2']
sel43: ['ECG1', 'ECG2']
sel44: ['ECG1', 'ECG2']
sel45: ['ECG1', 'ECG2']
sel46: ['ECG1', 'ECG2']
sel47: ['ECG1', 'ECG2']
sel48: ['ECG1', 'ECG2']
sel49: ['ECG1', 'ECG2']
sel50: ['ECG1', 'ECG2']
sel51: ['ECG1', 'ECG2']
sel52: ['ECG1', 'ECG2']
sel803: ['ECG1', 'ECG2']
sel808: ['ECG1', 'ECG2']
sel811: ['ECG1', 'ECG2']
sel820: ['ECG1', 'ECG2']
sel821: ['ECG1', 'ECG2']
sel840: ['ECG1', 'ECG2']
sel847: ['ECG1', 'ECG2']
sel853: ['ECG1', 'ECG2']
sel871: ['ECG1', 'ECG2']
sel872: ['ECG1', 'ECG2']
sel873: ['ECG1', 'ECG2']
sel883: ['ECG1', 'ECG2']
sel891: ['ECG1', 'ECG2']
sele0104: ['D3', 'D4']
sele0106: ['D3', 'V3']
sele0107: ['D3', 'V4']
sele0110: ['V3', 'D3']
sele0111: ['D3', 'V4']
sele0112: ['D3', 'V4']
sele0114: ['D3', 'V4']
sele0116: ['V4', 'D3']
sele0121: ['V4', 'D3']
sele0122: ['V4', 'D3']
sele0124: ['V4', 'D3']
sele0126: ['V4', 'D3']
sele0129: ['D3', 'V3']
sele0133: ['D3', 'V3']
sele0136: ['D3', 'V4']
sele0166: ['V4', 'D3']
sele0170: ['V4', 'D3']
sele0203: ['CM5', 'CC5']
sele0210: ['CM5', 'CC5']
sele0211: ['CM5', 'CC5']
sele0303: ['V2-V3', 'V5']
sele0405: ['CM5', 'mod.V1']
sele0406: ['CM5', 'CC5']
sele0409: ['CM5', 'CC5']
sele0411: ['CM5', 'CC5']
sele0509: ['V1-V2', 'V4-V5']
sele0603: ['CM5', 'CM2']
sele0604: ['CM2', 'ML5']
sele0606: ['CM5', 'ML5']
sele0607: ['CM5', 'CM4']
sele0609: ['CM5', 'ML5']
sele0612: ['CM5', 'ML5']
sele0704: ['V5', 'V1']
